Team	2025	2026
Air Force	0.001	0.012
Akron	0	0
Alabama	0.767	0.395
Appalachian State	0.004	0
Arizona	0.001	0.062
Arizona State	0.229	0.023
Arkansas	0.013	0
Arkansas State	0	0.004
Army	0.024	0.027
Auburn	0.052	0.052
Ball State	0	0
Baylor	0.114	0.009
Boise State	0.486	0.205
Boston College	0.002	0
Bowling Green	0.002	0
Buffalo	0.01	0.002
BYU	0.089	0.288
California	0	0.002
Central Michigan	0	0.002
Charlotte	0	0
Cincinnati	0.011	0.005
Clemson	0.637	0.077
Coastal Carolina	0.001	0
Colorado	0.003	0
Colorado State	0.001	0
Connecticut	0.002	0
Delaware	0	0.001
Duke	0.018	0.013
East Carolina	0.007	0.033
Eastern Michigan	0	0
FIU	0.002	0.001
Florida	0.275	0.08
Florida Atlantic	0	0
Florida State	0.014	0.016
Fresno State	0.002	0.014
Georgia	0.773	0.703
Georgia Southern	0.01	0
Georgia State	0	0
Georgia Tech	0.038	0.016
Hawaii	0	0.014
Houston	0	0.029
Illinois	0.097	0.054
Indiana	0.165	0.799
Iowa	0.046	0.122
Iowa State	0.197	0.007
Jacksonville State	0.005	0.008
James Madison	0.043	0.148
Kansas	0.038	0.005
Kansas State	0.149	0.038
Kennesaw State	0	0.003
Kent State	0	0
Kentucky	0.003	0.005
Liberty	0.099	0.01
Louisiana Tech	0.003	0.006
Louisiana-Lafayette	0.012	0.01
Louisiana-Monroe	0	0
Louisville	0.12	0.139
LSU	0.443	0.286
Marshall	0.005	0.014
Maryland	0	0.002
Massachusetts	0	0
Memphis	0.044	0.013
Miami	0.253	0.724
Miami (OH)	0.005	0.013
Michigan	0.429	0.267
Michigan State	0	0.003
Middle Tennessee	0	0
Minnesota	0.046	0.009
Mississippi State	0	0
Missouri	0.064	0.1
Missouri State	0	0
Navy	0.08	0.114
Nebraska	0.042	0.027
Nevada	0	0
New Mexico	0	0.037
New Mexico State	0	0
North Carolina	0.003	0
North Carolina State	0.006	0.019
North Dakota State	0	0.048
North Texas	0.001	0.016
Northern Illinois	0.001	0
Northwestern	0	0.009
Notre Dame	0.614	0.715
Ohio	0.06	0.012
Ohio State	0.851	0.885
Oklahoma	0.131	0.305
Oklahoma State	0.001	0.003
Old Dominion	0.001	0.031
Ole Miss	0.303	0.421
Oregon	0.586	0.768
Oregon State	0.009	0.001
Penn State	0.807	0.209
Pittsburgh	0.009	0.032
Purdue	0	0
Rice	0	0
Rutgers	0.007	0.001
Sacramento State	0	0
Sam Houston	0	0
San Diego State	0	0.026
San Jose State	0.012	0
SMU	0.162	0.175
South Alabama	0.005	0
South Carolina	0.218	0.052
South Florida	0.006	0.072
Southern Miss	0	0.001
Stanford	0	0
Syracuse	0.003	0
TCU	0.107	0.058
Temple	0	0
Tennessee	0.332	0.193
Texas	0.792	0.648
Texas A&M	0.238	0.404
Texas State	0.004	0.009
Texas Tech	0.11	0.678
Toledo	0.066	0.034
Troy	0.004	0.006
Tulane	0.168	0.053
Tulsa	0	0
UAB	0	0
UCF	0.004	0.003
UCLA	0.001	0.004
UNLV	0.062	0.056
USC	0.119	0.305
Utah	0.089	0.206
Utah State	0.001	0.001
UTEP	0	0
UTSA	0.024	0.035
Vanderbilt	0.008	0.074
Virginia	0	0.061
Virginia Tech	0.011	0.017
Wake Forest	0	0.006
Washington	0.039	0.18
Washington State	0.001	0.011
West Virginia	0.001	0.001
Western Kentucky	0.034	0.069
Western Michigan	0	0.034
Wisconsin	0.013	0.005
Wyoming	0	0
